Customer Remarks,category,cleaned_remarks,category_encoded
Good ,Returns,good,10
Good cx support Shopzilla ,Order Related,good cx support shopzilla,5
I am happy  for your support,Returns,i am happy for your support,10
Good ,Returns,good,10
Customer support 24/7 is always busy. Can you plz make it available ease to reach ,Payments related,customer support 247 is always busy can you plz make it available ease to reach,7
Good,Returns,good,10
??? customer service ,Returns,customer service,10
Pls solve this my issues ?? ,Returns,pls solve this my issues,10
Good ,Order Related,good,5
Very nice guy...,Returns,very nice guy,10
received old used product and now can't return it,Returns,received old used product and now cant return it,10
She's communication is too good understand my query and solve it... Thankyou so much...??,Order Related,shes communication is too good understand my query and solve it thankyou so much,5
Very good support ,Returns,very good support,10
Thank you so much ,Returns,thank you so much,10
Nice ,Returns,nice,10
Ms sandhya was one of your customer care officer was not able to resolve my issue. She was trying to make me fool and lingering about my issue. This is not good initiative by Shopzilla. Why my case is taking this much time...,Returns,ms sandhya was one of your customer care officer was not able to resolve my issue she was trying to make me fool and lingering about my issue this is not good initiative by shopzilla why my case is taking this much time,10
Good ,Returns,good,10
Still couldn't solve my problem,Returns,still couldnt solve my problem,10
Please check the shipment prior sending it to any customer so they can actually receive the product. ,Returns,please check the shipment prior sending it to any customer so they can actually receive the product,10
5,Returns,5,10
Thank you Shopzilla for solving my problem,Returns,thank you shopzilla for solving my problem,10
Thank you Shopzilla team ,Product Queries,thank you shopzilla team,8
Ok,Returns,ok,10
Nice chatting,Returns,nice chatting,10
nice,Returns,nice,10
Good,Returns,good,10
V good ,Returns,v good,10
Please deliver the all items and correct items,Returns,please deliver the all items and correct items,10
Please try to record the customer' contact history with customer support person like how many times and with whom a customer has talked to from customer suppert person. ,Order Related,please try to record the customer contact history with customer support person like how many times and with whom a customer has talked to from customer suppert person,5
Thank you ,Returns,thank you,10
Good one ,Refund Related,good one,9
Good,Product Queries,good,8
Nice and problem solved,Returns,nice and problem solved,10
Good job ,Refund Related,good job,9
Good,Order Related,good,5
I orderd pigeon juicer mixer grinder bt product quality is not gud I want to refund bt my problem is not solve ,Product Queries,i orderd pigeon juicer mixer grinder bt product quality is not gud i want to refund bt my problem is not solve,8
tq,Returns,tq,10
please give a tollfree number to contact.. please. i beg you.,Shopzilla Related,please give a tollfree number to contact please i beg you,11
Quick resolution,Order Related,quick resolution,5
All good,Returns,all good,10
Please resolve my issue asap,Order Related,please resolve my issue asap,5
Very helpful support of customer service person thanku,Cancellation,very helpful support of customer service person thanku,1
Thank ,Returns,thank,10
Anytime supporting executive  . So I am very happy,Payments related,anytime supporting executive so i am very happy,7
Best call service,Returns,best call service,10
Good ,Returns,good,10
Thank you,Order Related,thank you,5
Koi sapotNahiIssu problem me koi help nahi ki Delivery nahi hai,Order Related,koi sapotnahiissu problem me koi help nahi ki delivery nahi hai,5
Very Good Conversation And Customer Handling Thanks Sir,Returns,very good conversation and customer handling thanks sir,10
I was talking with Mr.   Thakur & he was very efficient to understanding my issue & immediate has taken the necessary action to resolve my concern.,Feedback,i was talking with mr thakur he was very efficient to understanding my issue immediate has taken the necessary action to resolve my concern,2
"Need to improve address part after shipment allocation done from seller end, may some time need to change address after two three days or after shipment done from seller e.",Refund Related,need to improve address part after shipment allocation done from seller end may some time need to change address after two three days or after shipment done from seller e,9
Thank you so much for helping my problem ,Cancellation,thank you so much for helping my problem,1
Good ,Order Related,good,5
Good,Order Related,good,5
Very nice ??,Returns,very nice,10
"Agent was helpful, patient, knowledgeable.",Feedback,agent was helpful patient knowledgeable,2
Very bef,Returns,very bef,10
Give my refund,Product Queries,give my refund,8
Over all good ?? ,Order Related,over all good,5
Good ,Returns,good,10
Very good support from executive ,Returns,very good support from executive,10
No,Refund Related,no,9
Please update your policy to refund and return with more flexible.,Returns,please update your policy to refund and return with more flexible,10
  should be crystal clear rather than the fake information given by them and customer has to suffer.,Product Queries,should be crystal clear rather than the fake information given by them and customer has to suffer,8
Very nice support,Order Related,very nice support,5
Too good,Returns,too good,10
  delivery,Order Related,delivery,5
Service is good,Returns,service is good,10
Too good interact ,Order Related,too good interact,5
Make accesss to customer service executive accessible.,Returns,make accesss to customer service executive accessible,10
Very good ??,Returns,very good,10
Her  manners is very Nice ,Returns,her manners is very nice,10
** my time is more important ,Returns,my time is more important,10
Good service ,Returns,good service,10
Customer care services good parsal ,Returns,customer care services good parsal,10
Too much timing for resolving issue,Returns,too much timing for resolving issue,10
It takes lot of time to request a call to customer care executive,Refund Related,it takes lot of time to request a call to customer care executive,9
"Shopzilla service is very poor and delivery person not answering calls. There is no use of sharing delivery person contact details they are not answering calls, difficult to coordinate with delivery person. I am waiting since morning for delivery and it is not possible to wait such long time better to goto shop and purchase from their now days shops are also providing same discount.",Order Related,shopzilla service is very poor and delivery person not answering calls there is no use of sharing delivery person contact details they are not answering calls difficult to coordinate with delivery person i am waiting since morning for delivery and it is not possible to wait such long time better to goto shop and purchase from their now days shops are also providing same discount,5
Excellent ,Returns,excellent,10
RAGHAV PRSAD MISHRA,Order Related,raghav prsad mishra,5
Shopzilla policy very baf,Returns,shopzilla policy very baf,10
Nyc,Product Queries,nyc,8
No,Returns,no,10
Nothing ,Refund Related,nothing,9
Call cut during conversation ,Returns,call cut during conversation,10
Feeling nice to talk with Shopzilla executiveThanks,Returns,feeling nice to talk with shopzilla executivethanks,10
Totally disgusting service money deducted from bank account but order pending ,Product Queries,totally disgusting service money deducted from bank account but order pending,8
Mujhe kafi achcha   customer executive se baat karke and so you very happy and very excited Shopzilla shopping,Returns,mujhe kafi achcha customer executive se baat karke and so you very happy and very excited shopzilla shopping,10
Excellent ,Refund Related,excellent,9
Very bad customer care service ,Returns,very bad customer care service,10
Dffy merchant nmb not share in my backend,Order Related,dffy merchant nmb not share in my backend,5
Product is very bed quality is very bad,Returns,product is very bed quality is very bad,10
Acha laga bat kar me,Feedback,acha laga bat kar me,2
Good??,Returns,good,10
"Sometimes updated contact information is provided by the user to address the query, new or phone number in which the product os delivered or an another email of the customer to which the product is delivered, but the option is not available. Kindly update it",Returns,sometimes updated contact information is provided by the user to address the query new or phone number in which the product os delivered or an another email of the customer to which the product is delivered but the option is not available kindly update it,10
Nice to get an surety from customer service.  It was great to communicate. ,Returns,nice to get an surety from customer service it was great to communicate,10
Very bad collor Chengig problem ,Order Related,very bad collor chengig problem,5
Pleas try to communicate your team first what is the purpose of providing reference photos. It is not like sake of. it is to provide some idea about the product to customers.,Order Related,pleas try to communicate your team first what is the purpose of providing reference photos it is not like sake of it is to provide some idea about the product to customers,5
I am very disappointed with Shopzilla services because now a days my products are being delayed many times.I am a regular customer but I didn't expect this issues from Shopzilla. In case of customer service executive I would give 5 star rating for helping me.Thank you.,Order Related,i am very disappointed with shopzilla services because now a days my products are being delayed many timesi am a regular customer but i didnt expect this issues from shopzilla in case of customer service executive i would give 5 star rating for helping methank you,5
Company policy are not good enough ,Returns,company policy are not good enough,10
4,Order Related,4,5
Good,Returns,good,10
  ???? ??? ???? ???? ????? ???,Returns,,10
At first spack very good ,Returns,at first spack very good,10
Happy ,Feedback,happy,2
Good person ,Returns,good person,10
Ok,Returns,ok,10
Very good customer support system ,Returns,very good customer support system,10
Excellent talking behaviour.,Returns,excellent talking behaviour,10
Connect directly with supplier,Returns,connect directly with supplier,10
No,Order Related,no,5
Train your execs better and have more customer friendly policies.,Returns,train your execs better and have more customer friendly policies,10
Please solve my problem.,Returns,please solve my problem,10
Very good ,Returns,very good,10
Best,Returns,best,10
It was nice ,Order Related,it was nice,5
Add regional languagesLike Other telugu,Returns,add regional languageslike other telugu,10
They just read the scripts and has no interaction with the logistics team. They can't tell or know whats going on. Bullshit service. Actually its Shopzilla bullshit service not the CX team. ,Cancellation,they just read the scripts and has no interaction with the logistics team they cant tell or know whats going on bullshit service actually its shopzilla bullshit service not the cx team,1
Repeatedly im getting a different product on ordering over Shopzilla this is happening 2nd tym in last week. Horrible service by Shopzilla ,Returns,repeatedly im getting a different product on ordering over shopzilla this is happening 2nd tym in last week horrible service by shopzilla,10
"Thank you very much for solving the problem of my product which is brain, please solve my problem as soon as possible  ",Returns,thank you very much for solving the problem of my product which is brain please solve my problem as soon as possible,10
Very good response ,Cancellation,very good response,1
10 out of 10 for customer care executive she was providing superb service ,Cancellation,10 out of 10 for customer care executive she was providing superb service,1
Thanks for the help,Returns,thanks for the help,10
I am plus member but didn't get resultion even customer care really disappointed than only make call on hold and nothing else .they never give any resulation ,Product Queries,i am plus member but didnt get resultion even customer care really disappointed than only make call on hold and nothing else they never give any resulation,8
Thank u so much mam problam sovled,Returns,thank u so much mam problam sovled,10
Don't make fake commitment.,Feedback,dont make fake commitment,2
Good ,Refund Related,good,9
More flexible easy to communicate when problem occur,Feedback,more flexible easy to communicate when problem occur,2
Make return policy available for each and every product. I ordered a product which has no return by completing trusting Shopzilla but ended up receiving a damaged product. Now I have to wait for the reply from your side which is hectic for both the ends. ,Returns,make return policy available for each and every product i ordered a product which has no return by completing trusting shopzilla but ended up receiving a damaged product now i have to wait for the reply from your side which is hectic for both the ends,10
When we choose english as the language try to communicate in that only.Speak hindi to those who selected hindi,Order Related,when we choose english as the language try to communicate in that onlyspeak hindi to those who selected hindi,5
Resolve quickly,Feedback,resolve quickly,2
Working progress is very slow for customers. Fast way and smart work req for customers issues to be solve as early as possible.,Returns,working progress is very slow for customers fast way and smart work req for customers issues to be solve as early as possible,10
Good,Order Related,good,5
Ff,Order Related,ff,5
Very good nice helping me ????????,Returns,very good nice helping me,10
Hi,Product Queries,hi,8
nice,Feedback,nice,2
Quality is bad ,Returns,quality is bad,10
Thanks for resolving  the issue and I hope it's fast..  bless:),Order Related,thanks for resolving the issue and i hope its fast bless,5
I AM satisfied for inconvenience ,Returns,i am satisfied for inconvenience,10
Good service ,Returns,good service,10
I feel better ????Thnx Taniya madam ????,Refund Related,i feel better thnx taniya madam,9
Good talking ,Order Related,good talking,5
Excellent ,Payments related,excellent,7
Yes ,Order Related,yes,5
not AGRE,Order Related,not agre,5
Return pickup is not scheduled till date,Returns,return pickup is not scheduled till date,10
best,Returns,best,10
Good one ,Payments related,good one,7
Good,Shopzilla Related,good,11
Please don't create such type of situation that customer needs to reach you,Returns,please dont create such type of situation that customer needs to reach you,10
Helping ??,Returns,helping,10
bhut achhi thi didi mujhe acche se smja diya tnx didi,Returns,bhut achhi thi didi mujhe acche se smja diya tnx didi,10
Happy,Order Related,happy,5
No,Returns,no,10
Good,Returns,good,10
Thank you ,Returns,thank you,10
Nice ??,Returns,nice,10
This costomer is very good toking ,Returns,this costomer is very good toking,10
He solved my problem very quickly...Thanks to him...,Returns,he solved my problem very quicklythanks to him,10
All well ,Refund Related,all well,9
 I am 100percent satisfied with talk to you thank u,Returns,i am 100percent satisfied with talk to you thank u,10
Very good,Returns,very good,10
This agent is amazing. He resolve my query in a second. ,Returns,this agent is amazing he resolve my query in a second,10
Good,Returns,good,10
Ty so much ??,Returns,ty so much,10
Thank You,Refund Related,thank you,9
Good ,Returns,good,10
Take confirmation from delivery partner before confirm delivery date. Very delivery service for Shopzilla plus member. Same on you,Order Related,take confirmation from delivery partner before confirm delivery date very delivery service for shopzilla plus member same on you,5
Very good 8,Returns,very good 8,10
 ?????????? ?????? ????? ????? ?? ??????? ?? ???? ????? ?? ???? ?? ???? ?? ??? ???? ?? ???? ??? ???? ????? ??? ??? ???? ???? ?? ???? ??? ???? ???? ?? ?? ????? ?? ?? ??? ??? ??,Order Related,,5
Not taken any action to my problem ,Order Related,not taken any action to my problem,5
Nice ,Returns,nice,10
Fully help to try plomblem solving,Order Related,fully help to try plomblem solving,5
Very good,Order Related,very good,5
Very good customer,Returns,very good customer,10
"Please in future, Send product as proper quality and quantity. I have not time to send complaint against product short or damaged. Please save your time and my time also. Thanks you ",Returns,please in future send product as proper quality and quantity i have not time to send complaint against product short or damaged please save your time and my time also thanks you,10
Best customer service I'm good ??,Shopzilla Related,best customer service im good,11
Very bad Shopzilla.,Returns,very bad shopzilla,10
Good jop,Order Related,good jop,5
Nothing ,Returns,nothing,10
Need to improve customer satisfaction and customer issues resolving ,Returns,need to improve customer satisfaction and customer issues resolving,10
Write something ??,Returns,write something,10
The customer executive showed empathy and offered solutions. ,Order Related,the customer executive showed empathy and offered solutions,5
If we are purchasing any item we are taking warranty along with product if you are cancelling means how can we trust Shopzilla product ,Returns,if we are purchasing any item we are taking warranty along with product if you are cancelling means how can we trust shopzilla product,10
There was a glitch in voice so it was difficult to understand what they were saying,Order Related,there was a glitch in voice so it was difficult to understand what they were saying,5
Nice executive ,Product Queries,nice executive,8
Thankyou anurag ji,Returns,thankyou anurag ji,10
"Like this person must more in Shopzilla, for better growthThanks man! ",Returns,like this person must more in shopzilla for better growththanks man,10
Saport times very bad.They didn't help us,Returns,saport times very badthey didnt help us,10
Good response ,Order Related,good response,5
NJ,Order Related,nj,5
Worst customer service from the product side.,Order Related,worst customer service from the product side,5
Good,Returns,good,10
Nice ,Order Related,nice,5
Refund icon should be in the website orapp,Returns,refund icon should be in the website orapp,10
Meraj was really fantastic ,Shopzilla Related,meraj was really fantastic,11
Good ??,Returns,good,10
After the complaint they told me to wait for 24hrs with patience. I have been waiting the said period and then nothing happened no one interacted ...why are you not caring your customers?it us really disappointing which I am not facing with other online sellers ,Order Related,after the complaint they told me to wait for 24hrs with patience i have been waiting the said period and then nothing happened no one interacted why are you not caring your customersit us really disappointing which i am not facing with other online sellers,5
I want feel very good in calling from your costomer.,Returns,i want feel very good in calling from your costomer,10
i need replacement ,Returns,i need replacement,10
"Please deliever right and good product, there are some people who exchange the product. Try to reduce the time period. ",Order Related,please deliever right and good product there are some people who exchange the product try to reduce the time period,5
I\u2019m ordered vest size S but it\u2019s coming below XS I think this is worst service ,Returns,iu2019m ordered vest size s but itu2019s coming below xs i think this is worst service,10
Please solve my problem as soon as possible ,Order Related,please solve my problem as soon as possible,5
Amazing feedback ,Refund Related,amazing feedback,9
Good,Returns,good,10
Very good ,Returns,very good,10
Take strict action against   seller for giving wrong products ,Returns,take strict action against seller for giving wrong products,10
Thanks ,Cancellation,thanks,1
"The product delivered is different from what was ordered, though it is non-returnable product, due to which seller can send any wrong things and instead of taking action against seller, your executive was blaming me, ridiculous ",Returns,the product delivered is different from what was ordered though it is nonreturnable product due to which seller can send any wrong things and instead of taking action against seller your executive was blaming me ridiculous,10
Ease your policies to exact needs,Returns,ease your policies to exact needs,10
VERY GOOD,Order Related,very good,5
Totally bad resolve ,Order Related,totally bad resolve,5
provide more knowledge and powers to customer care executives to better cater the consumers.,Order Related,provide more knowledge and powers to customer care executives to better cater the consumers,5
Customer support good support good staff,Order Related,customer support good support good staff,5
??? ?? ??????? ?? ?????? ??????? ????? ?? ???? ????? ???????,Product Queries,,8
Thanks madam ji,Returns,thanks madam ji,10
Very good ,Offers & Cashback,very good,3
"The customer executive I talked to was very nice, his way of talking was very good and my problem was also solved.Thank You so much...????",Returns,the customer executive i talked to was very nice his way of talking was very good and my problem was also solvedthank you so much,10
Shopzilla fail to provide ease return process. #Pathethi,Returns,shopzilla fail to provide ease return process pathethi,10
Good customer service ,Cancellation,good customer service,1
Very poor facilities ,Order Related,very poor facilities,5
Excellent service ,Returns,excellent service,10
Nice,Order Related,nice,5
please recheck the item once before delivery ,Returns,please recheck the item once before delivery,10
My replacement product was not delivered to me by the delivery agent.,Returns,my replacement product was not delivered to me by the delivery agent,10
Ok,Returns,ok,10
Nice ,Shopzilla Related,nice,11
Worst response .only looking into the matter but no one resolve the problem ,Returns,worst response only looking into the matter but no one resolve the problem,10
Good ,Returns,good,10
"From last day i am suffering,  no any delivery person calling or receiving call and not delivering my shipment. ",Order Related,from last day i am suffering no any delivery person calling or receiving call and not delivering my shipment,5
"She is very good person solved my problem, you should be  more person like them ",Order Related,she is very good person solved my problem you should be more person like them,5
Good Services,Returns,good services,10
I want the full refund of the wrong product,Returns,i want the full refund of the wrong product,10
Delivery improve fair ,Returns,delivery improve fair,10
Good,Cancellation,good,1
Good experience with your exitev ,Returns,good experience with your exitev,10
Good man,Returns,good man,10
Awesome ,Product Queries,awesome,8
Conversation with consultant was good.,Order Related,conversation with consultant was good,5
Please verify any techinitian visit or any replacement related query from customer so that any query can't close with wrong report.,Returns,please verify any techinitian visit or any replacement related query from customer so that any query cant close with wrong report,10
Very good,Product Queries,very good,8
Your social media team provide 3rd class treatment very bad experience,Returns,your social media team provide 3rd class treatment very bad experience,10
Sir please return my aadi shoes ,Returns,sir please return my aadi shoes,10
Good,Refund Related,good,9
No,Order Related,no,5
Maine aap logo   bar complaint   aap   ka koi service man   home adress per service karne   aaya hai aur main bahut     ka   our problem kab tak theek  hoga Maine jab jab aap   ko phone kiya tab tak unhone bola maine complaint list kar diya aapka home adress per 48 hours ke andar   abhi tak koi   phone   kiya mere home adress per   aaya to mere   aur Maine aap   ka atambag company ka pankha purchase karke galti kar di yah   galti hai Sabse bada galti hai   Paisa ka aap log return kar dijiye   pankha   jaaiye   to main consumer form mein jaunga aap     main 48 aur time de raha   48 aur ke andar koi aadami   pankha replace karke   dekhe   to main consumer court jaunga .,Returns,maine aap logo bar complaint aap ka koi service man home adress per service karne aaya hai aur main bahut ka our problem kab tak theek hoga maine jab jab aap ko phone kiya tab tak unhone bola maine complaint list kar diya aapka home adress per 48 hours ke andar abhi tak koi phone kiya mere home adress per aaya to mere aur maine aap ka atambag company ka pankha purchase karke galti kar di yah galti hai sabse bada galti hai paisa ka aap log return kar dijiye pankha jaaiye to main consumer form mein jaunga aap main 48 aur time de raha 48 aur ke andar koi aadami pankha replace karke dekhe to main consumer court jaunga,10
No,Order Related,no,5
Shopzilla always show fake and wrong delivery time and date ....m unhappy,Order Related,shopzilla always show fake and wrong delivery time and date m unhappy,5
No issues,Refund Related,no issues,9
Nice and good communication ,Cancellation,nice and good communication,1
Executive Service is very GoodTimes is Just a minute and my problem is Solved by executive But I am Not HappyWarranty Service resolve for HARMAN JBL not for Shopzilla so please purchase any   to check warranty Service releted issue Shopzilla I buy this product JBL TUNE125BT Bluetooth earphone Product is very Bad ??,Order Related,executive service is very goodtimes is just a minute and my problem is solved by executive but i am not happywarranty service resolve for harman jbl not for shopzilla so please purchase any to check warranty service releted issue shopzilla i buy this product jbl tune125bt bluetooth earphone product is very bad,5
Thanks for help ,Returns,thanks for help,10
???????? ???? ???,Order Related,,5
Awesome ,Order Related,awesome,5
The call got disconnected in less than 30 seconds and I didn\u2019t receive any call-back yet,Product Queries,the call got disconnected in less than 30 seconds and i didnu2019t receive any callback yet,8
The person is so good. ,Returns,the person is so good,10
Very good,Order Related,very good,5
Good,Returns,good,10
Great interaction ,Product Queries,great interaction,8
Excellent ,Order Related,excellent,5
Thanks for helping colling team ,Returns,thanks for helping colling team,10
Plz provide queries as soon as,Order Related,plz provide queries as soon as,5
GOOD WORK,Returns,good work,10
Excellent ,Cancellation,excellent,1
Good ,Product Queries,good,8
Thanks sir ,Feedback,thanks sir,2
Not changing my delivery address till so please solve my matter necessary ,Product Queries,not changing my delivery address till so please solve my matter necessary,8
Provide resolution faster as SuperBuy ,Returns,provide resolution faster as superbuy,10
Nice ,Returns,nice,10
Very polite and Nice behave.good speaking quality ,Returns,very polite and nice behavegood speaking quality,10
Product and customer service is absolutely pathetic and of not acceptable standards. Customer support executive has no knowledge nor they have willingness of helping out the customer.,Returns,product and customer service is absolutely pathetic and of not acceptable standards customer support executive has no knowledge nor they have willingness of helping out the customer,10
happy ,Order Related,happy,5
I am satisfied with talk. Very well he told his point gently.,Refund Related,i am satisfied with talk very well he told his point gently,9
"My English is not good,but I am very happy to Shopzilla service .garibo ka sapna kare sakar Shopzilla ke sath ????Very very nice services ??",Shopzilla Related,my english is not goodbut i am very happy to shopzilla service garibo ka sapna kare sakar shopzilla ke sath very very nice services,11
Good,Returns,good,10
GREAT SUPPORT,Returns,great support,10
Good,Shopzilla Related,good,11
Iam not happy,Returns,iam not happy,10
  support was very good ??,Returns,support was very good,10
Good,Returns,good,10
Thanks,Order Related,thanks,5
Some okay okay,Order Related,some okay okay,5
I like Shopzilla,Product Queries,i like shopzilla,8
Thank You So Much,Order Related,thank you so much,5
Make sure correct ordered product delivered/delivering to customer,Returns,make sure correct ordered product delivereddelivering to customer,10
"Before delivering verification of product to be done, ",Order Related,before delivering verification of product to be done,5
Try to give good product. ,Returns,try to give good product,10
"Very good service, & support ",Payments related,very good service support,7
He was a good service provider ,Order Related,he was a good service provider,5
Very good persona and helpful,Shopzilla Related,very good persona and helpful,11
Worg productr Riturn this product and cace of Shopzilla ,Returns,worg productr riturn this product and cace of shopzilla,10
Very Good ,Feedback,very good,2
Great,Order Related,great,5
"Raising request only, no responsibility for issue resolved or not.",Returns,raising request only no responsibility for issue resolved or not,10
Super ??     ,Returns,super,10
Need Other speaking consultant also.. most time not avl in Other speakers ,Returns,need other speaking consultant also most time not avl in other speakers,10
Thank you for helping,Order Related,thank you for helping,5
No,Returns,no,10
Issue not resolved issue is pending since 12 days refund the amount ,Returns,issue not resolved issue is pending since 12 days refund the amount,10
Customer support executive girls behavior is very great so I am very very happy of her work. ,Returns,customer support executive girls behavior is very great so i am very very happy of her work,10
customer care executive was good,Returns,customer care executive was good,10
Good ,Product Queries,good,8
My request is not resolved ,Returns,my request is not resolved,10
Thank you ,Order Related,thank you,5
Plz give full authority to consumer to write their proper address to reach your products with out any problem and reach to everywhere  ,Order Related,plz give full authority to consumer to write their proper address to reach your products with out any problem and reach to everywhere,5
Please provide cash on delivery with partial amount of cod,Product Queries,please provide cash on delivery with partial amount of cod,8
Nice experience and helpful person ,Returns,nice experience and helpful person,10
Excellent,Order Related,excellent,5
Nice,Refund Related,nice,9
But not provided all update regarding product delivery ,Order Related,but not provided all update regarding product delivery,5
Can't understand my problem ,Order Related,cant understand my problem,5
agent does not take my query not resolve ,Returns,agent does not take my query not resolve,10
"My order Order  has been cancelled without any valid reasons and this will ruin the image of your brand. Your services related with order delivery is very poor and time taken. Without any view of customer's concern you people have cancel my order while it was so important for me. In view of above, I want to complaint against responsible persons and keep me update what actions have you been taken ? What is the customer right about their product delivery issues?",Order Related,my order order has been cancelled without any valid reasons and this will ruin the image of your brand your services related with order delivery is very poor and time taken without any view of customers concern you people have cancel my order while it was so important for me in view of above i want to complaint against responsible persons and keep me update what actions have you been taken what is the customer right about their product delivery issues,5
Nice help I am happy,Refund Related,nice help i am happy,9
Am happy ,Returns,am happy,10
Tv still not replaced,Order Related,tv still not replaced,5
Bad service Shopzilla,Order Related,bad service shopzilla,5
The costomer care agent was very good ... Has good knowledge and also very easy to ear ,Returns,the costomer care agent was very good has good knowledge and also very easy to ear,10
No,Returns,no,10
Very bad service and quality my problem is not slolve im not happy,Refund Related,very bad service and quality my problem is not slolve im not happy,9
Product quality was not good need refund kindly help ,Returns,product quality was not good need refund kindly help,10
Make policy so that customer can change his mobile number easily,Returns,make policy so that customer can change his mobile number easily,10
Good ,Refund Related,good,9
No,Order Related,no,5
Issue not resolved till now and it's been 12 days,Returns,issue not resolved till now and its been 12 days,10
Very good resolve and voice also clear and can understand my issue,Order Related,very good resolve and voice also clear and can understand my issue,5
Thank You,Refund Related,thank you,9
No refund received till nowCustomer service calls are not available & then I got to hear music.pls assistI'm a plus member ,Refund Related,no refund received till nowcustomer service calls are not available then i got to hear musicpls assistim a plus member,9
"Hello, I was able to speak to the right person on thrid attempt the first two were not responsive don't know why but I am happy that the representative on third call she was well knowledge and ability to provide resolution, thank you! ",Feedback,hello i was able to speak to the right person on thrid attempt the first two were not responsive dont know why but i am happy that the representative on third call she was well knowledge and ability to provide resolution thank you,2
Sweet voice.. ,Returns,sweet voice,10
Thanks ,Returns,thanks,10
Very good pl try to refund amt as soon as possible ,Refund Related,very good pl try to refund amt as soon as possible,9
Zewra smart watch battery is no work long time pleaseReturn watch ,Cancellation,zewra smart watch battery is no work long time pleasereturn watch,1
Good ,Order Related,good,5
Good support ,Returns,good support,10
Thank for d co ordination,Returns,thank for d co ordination,10
Your app return help section doesn\u2019t work ,Refund Related,your app return help section doesnu2019t work,9
Solve delevery issues ,Order Related,solve delevery issues,5
"Happy, thanks",Payments related,happy thanks,7
Even your customer support manager did the false commitment and give me hope.,Order Related,even your customer support manager did the false commitment and give me hope,5
Please refund at time or say to deliver boy to come in time,Returns,please refund at time or say to deliver boy to come in time,10
Good response,Shopzilla Related,good response,11
Product should me monitored by the authority till it is delivered and must be cross checked. Otherwise it seems that Shopzilla is suppoting the fraud going frequently to customers as well as  legal action should be taken against the authority,Order Related,product should me monitored by the authority till it is delivered and must be cross checked otherwise it seems that shopzilla is suppoting the fraud going frequently to customers as well as legal action should be taken against the authority,5
First thing that you give wrong information about your products ok you mentioned that Spotify premium of 12 month at 699 is free with moto g 62 5g phone then I reedem it by the code which you provided then it done and asking about payment and I thought that it first debit and credit again but I lost my 699 ruppes from my account and it is still not credited in my account so it mean it is not free then why you mentioned that it is free. I talked to your customer care number 3 time your first customer care is saying that the payment should not be cut from your account let I check please keep on line then she cut the phone then I talked to other customer care he is saying there is not free anything then I talked to third customer care he is saying that it is free for new Spotify account not for older...what it is going on you mentioned detail wrong and cut my rupees in saying of free.what is free ...,Order Related,first thing that you give wrong information about your products ok you mentioned that spotify premium of 12 month at 699 is free with moto g 62 5g phone then i reedem it by the code which you provided then it done and asking about payment and i thought that it first debit and credit again but i lost my 699 ruppes from my account and it is still not credited in my account so it mean it is not free then why you mentioned that it is free i talked to your customer care number 3 time your first customer care is saying that the payment should not be cut from your account let i check please keep on line then she cut the phone then i talked to other customer care he is saying there is not free anything then i talked to third customer care he is saying that it is free for new spotify account not for olderwhat it is going on you mentioned detail wrong and cut my rupees in saying of freewhat is free,5
My borocekt,Product Queries,my borocekt,8
verry good rakesh sir my complent ,Returns,verry good rakesh sir my complent,10
It was overall good experience.,Returns,it was overall good experience,10
At the time of Conversation ....I thanksgiving to Executive .....and Shopzilla too.. mostly Executive is such a very nice person....  ,Returns,at the time of conversation i thanksgiving to executive and shopzilla too mostly executive is such a very nice person,10
 You will be a very good employee in future,Returns,you will be a very good employee in future,10
BEST  ISSUE RESOLVE,Returns,best issue resolve,10
Very good service ,Shopzilla Related,very good service,11
Nice ??,Shopzilla Related,nice,11
the customer support executive is very very good ,Returns,the customer support executive is very very good,10
"I have talked with 2 senior executives till now. Names-   and   both from senior team. Even though being a fIip  plus customer I have not at all received proper treatment from them. Mr.   actually cut my call without informing when he could not solve the issue. Mr.   told us various things which were not at all useful and were just wasting our as well as company\u2019s time. The customer care person were good. They could not solve our issue and hence they did what was possible of them. But once the call was transferred to senior team, they were not at all able to solve our issues.",Cancellation,i have talked with 2 senior executives till now names and both from senior team even though being a fiip plus customer i have not at all received proper treatment from them mr actually cut my call without informing when he could not solve the issue mr told us various things which were not at all useful and were just wasting our as well as companyu2019s time the customer care person were good they could not solve our issue and hence they did what was possible of them but once the call was transferred to senior team they were not at all able to solve our issues,1
Very good ,Returns,very good,10
Pickup master hamko   tab ham call back kiye to customer care ki bhi response nhi bataiye hamko ,Returns,pickup master hamko tab ham call back kiye to customer care ki bhi response nhi bataiye hamko,10
